RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
56.,vpxy,"(1) KRAS-R-A,ULPL-R-A,ADPL-R-A,ZABA-R-A,HT-R-A,ATPL-R-A",15.01. 15:02,-22.58%,"-27,23%","-0,49%",
57.,Maxxy,"(0) DDJH-R-A,ATPL-R-A,PBZ-R-A",22.01. 11:59,-22.74%,"-23,57%","0,43%",
58.,bigblu,"(1) HT-R-A,TISK-R-A,CKML-R-A,ATPL-R-A,KODT-P-A",10.01. 11:30,-22.89%,"-26,07%","-2,19%",
59.,peropopara,"(2) HUPZ-R-A,ATGR-R-A,JDBA-R-A",20.01. 00:55,-23.49%,"-23,92%","-0,59%",
60.,opasno,"(0) KODT-P-A,ATGR-R-A,ULPL-R-A",18.01. 16:38,-23.57%,"-28,69%","-1,52%",
61.,Trejder,"(0) KODT-P-A,ADRS-P-A,ERNT-R-A,DLKV-R-A,PTKM-R-A,ATPL-R-A",17.01. 08:50,-23.85%,"-27,27%","-0,82%",
62.,calado,"(0) PODR-R-A,ADRS-P-A,ADPL-R-A",22.01. 00:28,-24.60%,"-27,20%","-1,44%",
63.,bilanca,"(0) KOEI-R-A,LKRI-R-A,ATPL-R-A,KORF-R-A,INGR-R-A",20.01. 15:04,-24.62%,"-25,04%","-1,72%",
64.,navi,"(0) BLJE-R-A,ADPL-R-A,INGR-R-A,HT-R-A",19.01. 21:40,-24.63%,"-27,93%","-2,39%",
65.,drax01,"(1) DLKV-R-A,ADRS-P-A,KOEI-R-A,ATPL-R-A,ERNT-R-A",02.01. 23:31,-25.03%,"-28,53%","-7,99%",Crobex (5) 10
66.,Zorro,"(4) KORF-R-A,KOEI-R-A,ADPL-R-A,DDJH-R-A,IGH-R-A,BLJE-R-A",06.01. 13:02,-25.27%,"-25,76%","-7,18%",
67.,lost,"(0) LKPC-R-A,TISK-R-A,DDJH-R-A",25.01. 08:13,-25.30%,"-25,30%","-1,78%",
68.,jurice,"(0) ATPL-R-A,ERNT-R-A,KOEI-R-A",19.01. 20:13,-25.46%,"-30,52%","-3,22%",
69.,Pipi,"(1) ATGR-R-A,INGR-R-A,DLKV-R-A,BLJE-R-A,ADRS-P-A,VIRO-R-A",18.01. 21:25,-25.51%,"-26,53%","-3,46%",
70.,rduras,"(0) ERNT-R-A,HT-R-A,ATPL-R-A,ADRS-P-A",10.01. 11:58,-25.85%,"-31,60%","-5,16%",
71.,batistuta,"(0) INGR-R-A,TISK-R-A,DDJH-R-A",11.01. 13:08,-26.22%,"-26,22%","-5,37%",
72.,ToJeIvan,"(0) IGH-R-A,INA-R-A,ADRS-P-A,ATPL-R-A",07.01. 13:47,-26.97%,"-27,97%","-7,48%",
73.,molive,"(1) ULPL-R-A,ZABA-R-A,PBZ-R-A",17.01. 17:54,-27.17%,"-31,21%","-4,14%",
74.,doktorakula,"(0) ADPL-R-A,INGR-R-A,CKML-R-A,DLKV-R-A,BLJE-R-A,KOEI-R-A",12.01. 18:54,-27.28%,"-29,12%","-5,73%",
75.,Konus,"(0) IGH-R-A,DLKV-R-A,KORF-R-A,PBZ-R-A,ATPL-R-A,ZABA-R-A",19.01. 11:55,-27.43%,"-27,85%","-5,19%",
76.,yaki,"(0) CROS-R-A,ERNT-R-A,ADPL-R-A,KODT-R-A,DLKV-R-A,ULPL-R-A",21.01. 13:20,-27.56%,"-33,24%","-4,39%",
77.,multiplex,"(4) IGH-R-A,DLKV-R-A,ATPL-R-A",17.01. 08:54,-27.71%,"-30,57%","-4,67%",Od nelikvidnih BCIN BZJK IMZV PKMI
78.,mtrupinic,"(0) KOEI-R-A,ATPL-R-A,PTKM-R-A,VDKT-R-A,THNK-R-A",03.01. 10:29,-27.71%,"-28,16%","-9,94%",
79.,marrino,"(0) ADPL-R-A,ULPL-R-A,ZABA-R-A",20.01. 09:54,-27.73%,"-32,80%","-4,83%",
80.,daraboka,"(0) TISK-R-A,KNZM-R-A,ATPL-R-A,JDPL-R-A,LRH-R-A,INA-R-A",22.01. 22:06,-27.81%,"-28,18%","-4,64%",ina do neba
81.,jope,"(0) ULPL-R-A,INGR-R-A,SNHO-R-A,KORF-R-A,DLKV-R-A",20.01. 09:54,-27.82%,"-29,77%","-4,92%",
82.,portfeljaš,"(0) ATPL-R-A,IGH-R-A,DDJH-R-A",19.01. 11:40,-28.05%,"-28,05%","-5,81%",
83.,jumbo,"(1) ATPL-R-A,ATGR-R-A,DLKV-R-A",19.01. 15:37,-28.21%,"-30,60%","-5,98%",
84.,svido,"(1) ADRS-P-A,ERNT-R-A,ADPL-R-A",18.01. 10:56,-28.76%,"-32,60%","-6,71%",
85.,bimco,"(3) LKRI-R-A,ATPL-R-A,ADPL-R-A",23.01. 22:38,-28.81%,"-31,50%","-5,64%",
86.,DadoG,"(0) DLKV-R-A,INGR-R-A,KOEI-R-A,DDJH-R-A,TISK-R-A",23.01. 00:41,-28.82%,"-29,24%","-5,65%",
87.,istriano,"(5) ERNT-R-A,ATPL-R-A,HTPK-R-A,DDJH-R-A,KORF-R-A,ADPL-R-A",10.01. 16:15,-29.00%,"-30,85%","-8,31%",
88.,Srećica,"(1) HT-R-A,DLKV-R-A,ATPL-R-A,ERNT-R-A,ZABA-R-A",06.01. 12:05,-29.13%,"-33,49%","-11,04%",
89.,cinik,"(2) ATPL-R-A,ERNT-R-A,HT-R-A,ULPL-R-A",20.01. 19:40,-29.42%,"-35,53%","-6,52%",
90.,fixxx,"(0) JDPL-R-A,BLJE-R-A,LKPC-R-A,ATPL-R-A,ADPL-R-A,DDJH-R-A",17.01. 23:24,-30.01%,"-30,94%","-6,98%",Eto kako bi to odabrao totalni pocetnik
91.,bljak2d,"(0) INGR-R-A,HT-R-A,ADPL-R-A,ADRS-P-A",18.01. 20:15,-30.07%,"-33,90%","-8,03%",
92.,Thirdeye,"(4) INGR-R-A,DDJH-R-A,ADPL-R-A",18.01. 18:01,-30.09%,"-33,34%","-8,04%",
93.,misko,"(0) ATGR-R-A,JDPL-R-A,ADPL-R-A,LKPC-R-A,JNAF-R-A,PTKM-R-A",21.01. 22:48,-30.28%,"-31,47%","-7,11%",
94.,moon22walker,"(0) ADRS-P-A,ULPL-R-A,JDPL-R-A",05.01. 19:42,-30.28%,"-34,70%","-12,20%",
95.,tinlu,"(0) ADPL-R-A,IGH-R-A,PTKM-R-A,INGR-R-A",11.01. 15:44,-30.44%,"-31,82%","-9,59%",
96.,geronimo7,"(0) ATPL-R-A,KNZM-R-A,INA-R-A,DLKV-R-A",14.01. 09:40,-30.67%,"-31,23%","-8,57%",
97.,luka.os,"(1) TISK-R-A,BLJE-R-A,KORF-R-A,INGR-R-A",24.01. 00:21,-30.72%,"-30,72%","-7,55%",
98.,Makedonec,"(0) ADPL-R-A,ATPL-R-A,ERNT-R-A,ZABA-R-A,IGH-R-A,HT-R-A",19.01. 21:53,-30.72%,"-35,09%","-8,48%",
99.,TERMICH,"(0) ATPL-R-A,KOEI-R-A,HT-R-A,DLKV-R-A,ATGR-R-A",02.01. 17:58,-30.81%,"-32,83%","-13,78%",Dionice su poredana abecednim redom.
100.,Crumarix,"(7) HT-R-A,KORF-R-A,DDJH-R-A",17.01. 20:30,-31.34%,"-31,34%","-8,31%",Više se ne igram s Vama
101.,R&D,"(1) JDPL-R-A,HT-R-A,PODR-R-A,DLKV-R-A,ADPL-R-A",03.01. 13:15,-31.48%,"-33,94%","-13,70%",
102.,miško,"(1) INGR-R-A,ERNT-R-A,DDJH-R-A,LKPC-R-A,ATPL-R-A",19.01. 13:09,-31.84%,"-34,19%","-9,60%",
103.,mndrija,"(0) ATPL-R-A,KNZM-R-A,CROS-R-A,ADRS-R-A",20.01. 08:52,-32.38%,"-33,52%","-9,48%",
104.,ljubo24,"(0) IGH-R-A,VIRO-R-A,ATPL-R-A,ADPL-R-A,BLJE-R-A,INGR-R-A",18.01. 14:37,-32.49%,"-34,92%","-10,45%",
105.,mravac,"(0) KOEI-R-A,DLKV-R-A,JDPL-R-A",03.01. 11:34,-33.12%,"-33,87%","-15,35%",
106.,no name,"(0) MGMA-R-A,DDJH-R-A,INGR-R-A",05.01. 08:54,-33.51%,"-33,51%","-15,42%",Stečaj ili pobjeda :)
107.,mungos,"(0) PBZ-R-A,ATPL-R-A,ADPL-R-A",21.01. 19:17,-33.86%,"-36,49%","-10,69%",
108.,worlock,"(0) ATPL-R-A,LRH-R-A,INGR-R-A,KORF-R-A,MGMA-R-A",19.01. 12:53,-34.02%,"-34,02%","-11,78%",
109.,ratko41,"(4) HT-R-A,ATPL-R-A,ERNT-R-A",02.01. 16:23,-34.25%,"-39,54%","-17,21%",
110.,blade,"(0) IGH-R-A,KODT-R-A,JDPL-R-A,VLDS-R-A,KODT-P-A,DKVS-R-A",21.01. 09:47,-34.28%,"-35,88%","-11,12%",
111.,rosek,"(0) INDG-R-A,HT-R-A,DLKV-R-A",02.01. 18:36,-34.35%,"-36,96%","-17,32%",
112.,sjeli3,"(0) PTKM-R-A,DLKV-R-A,LKPC-R-A,IGH-R-A,INGR-R-A,VIRO-R-A",23.01. 22:46,-35.14%,"-36,65%","-11,98%",
113.,zeleniandre,"(0) ATPL-R-A,LKPC-R-A,PODR-R-A,ATGR-R-A,SNBA-R-A,ADPL-R-A",09.01. 23:01,-35.79%,"-36,72%","-16,30%","Zanimljivo, al bilo bi još više da je tražena likvidnost niža... npr 35 000"
114.,kameleon,"(0) HT-R-A,ATPL-R-A,PODR-R-A,JDPL-R-A",16.01. 21:03,-36.36%,"-38,26%","-14,27%",
115.,leconte,"(0) INA-R-A,ADRS-R-A,JDPL-R-A,ATPL-R-A,JNAF-R-A,DLKV-R-A",18.01. 16:21,-36.80%,"-37,65%","-14,75%",
116.,Silvio1973,"(1) LKRI-R-A,INGR-R-A,DLKV-R-A,VLDS-R-A,ADPL-R-A",01.01. 12:58,-37.53%,"-38,75%","-20,50%",Dobitna kombinacija za investicijski ciklus.
117.,fakat-lakat,"(2) ADPL-R-A,PODR-R-A,ATPL-R-A,BLJE-R-A,ZABA-R-A,INGR-R-A",21.01. 11:53,-39.38%,"-41,10%","-16,22%",
118.,imam plan,"(2) ATPL-R-A,INGR-R-A,ZABA-R-A",19.01. 23:46,-41.03%,"-43,05%","-18,79%",
119.,mc22mc,"(0) INGR-R-A,DLKV-R-A,VDKT-R-A,DDJH-R-A,IGH-R-A,THNK-R-A",15.01. 17:25,-41.60%,"-41,60%","-19,50%",
120.,moving,"(0) JDPL-R-A,LEDO-R-A,ATPL-R-A",15.01. 00:21,-42.02%,"-42,02%","-19,92%",
121.,dudo,"(0) DLKV-R-A,ATPL-R-A,BLJE-R-A",18.01. 09:53,-42.35%,"-42,35%","-20,30%",
122.,Bokios,"(6) LKRI-R-A,INGR-R-A,MGMA-R-A,PTKM-R-A",01.01. 17:00,-42.88%,"-42,88%","-25,84%",
123.,rott,"(0) HT-R-A,PODR-R-A,INGR-R-A,LKPC-R-A,ATPL-R-A",17.01. 00:04,-44.59%,"-46,08%","-21,55%",ugrizao i ne pušta...
124.,nana2009,"(0) KNZM-R-A,IGH-R-A,ATPL-R-A",12.01. 11:58,-44.86%,"-45,14%","-23,30%",
125.,ripero,"(0) SNHO-R-A,ERNT-R-A,INGR-R-A,MGMA-R-A,ULPL-R-A",18.01. 10:32,-46.91%,"-51,46%","-24,86%",
126.,kapitalist,"(0) JDPL-R-A,ATPL-R-A,ULPL-R-A",18.01. 15:08,-47.20%,"-50,53%","-25,15%",
127.,Dr. Ivo,"(0) HT-R-A,DLKV-R-A,ATPL-R-A,INGR-R-A",13.01. 11:40,-47.44%,"-49,34%","-26,49%",đubre jedno mućko
128.,goran8012,"(0) INGR-R-A,ADPL-R-A,IGH-R-A",21.01. 09:28,-47.58%,"-49,38%","-24,42%",
129.,cezar,"(0) KNZM-R-A,INGR-R-A,MGMA-R-A,PODR-R-A",10.01. 11:56,-50.57%,"-50,78%","-29,87%",
130.,exilim,"(2) ULPL-R-A,INGR-R-A,ATPL-R-A",19.01. 11:45,-52.42%,"-55,04%","-30,19%",
131.,facazplaca,"(3) BLJE-R-A,DLKV-R-A,INGR-R-A",03.01. 11:17,-53.03%,"-53,03%","-35,26%",
