RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
15.,hujga hujga,"(2) BLJE-R-A,KRAS-R-A,ATPL-R-A",07.01. 23:32,38.27%,"36,08%","37,17%",
16.,Hrx84,"(6) SNHO-R-A,ADRS-P-A,ILRA-R-A,AUHR-R-A",10.01. 21:05,37.95%,"35,77%","37,60%",
17.,nalet,"(3) SNHO-R-A,DDJH-R-A,RIVP-R-A",03.01. 10:10,37.66%,"36,51%","36,68%",
18.,skulas2,"(2) ARNT-R-A,RIVP-R-A,LPLH-R-A,TUHO-R-A,DDJH-R-A,RIZO-R-A",07.01. 18:54,37.63%,"35,71%","36,53%",
19.,KREANCA,"(1) DDJH-R-A,LPLH-R-A,VPIK-R-A,RIVP-R-A,ARNT-R-A",25.01. 14:58,34.58%,"33,86%","33,25%",IVAN-444
20.,zgranosa,"(1) DLKV-R-A,RIVP-R-A,RIZO-R-A",23.01. 23:18,34.38%,"33,19%","33,51%",
21.,goran91415,"(1) PTKM-R-A,ARNT-R-A,RIVP-R-A",24.01. 01:09,32.88%,"31,76%","31,56%",
22.,vlado100,"(1) ERNT-R-A,LKPC-R-A,INA-R-A,RIVP-R-A",07.01. 17:45,32.28%,"26,23%","31,17%",ŽIVI BILI PA VIDJELI !
23.,ledo,"(1) ARNT-R-A,VIRO-R-A,RIVP-R-A,KRAS-R-A,LKPC-R-A",21.01. 18:31,31.80%,"31,17%","31,20%",Sigurni potfelj pasivnog investitora
24.,ticino,"(3) ATPL-R-A,HMST-R-A,HT-R-A,RIVP-R-A",25.01. 22:28,31.67%,"24,79%","30,34%",
25.,jure radić,"(1) SLPF-R-A,HIMR-R-A,IPKK-R-A",07.01. 11:25,30.76%,"27,46%","29,66%",
26.,Vukopasss,"(1) ARNT-R-A,RIVP-R-A,HUPZ-R-A,KOEI-R-A",23.01. 14:12,30.26%,"28,77%","29,39%",
27.,Zoran13,"(1) CROS-R-A,RIVP-R-A,ADRS-R-A,LEDO-R-A,HT-R-A,ATGR-R-A",24.01. 21:48,29.41%,"26,87%","28,08%",OMNE PRINCIPIUM DIFFICILE.
28.,dasat,"(1) ZABA-R-A,LPLH-R-A,ULPL-R-A,ATPL-R-A,ARNT-R-A,RIVP-R-A",22.01. 16:08,29.03%,"27,64%","28,45%",
29.,ip,"(2) PBZ-R-A,ATPL-R-A,RIVP-R-A",03.01. 00:07,28.01%,"25,06%","27,03%",
30.,Misel,"(2) MAIS-R-A,ADPL-R-A,PODR-R-A,ARNT-R-A,RIVP-R-A",11.01. 16:18,26.56%,"24,68%","26,21%",
31.,mystt,"(2) RIVP-R-A,ARNT-R-A,ERNT-R-A,LEDO-R-A",21.01. 21:10,26.35%,"19,88%","25,75%",Igra je uvjek najljepši dio života
32.,iveu,"(1) RIVP-R-A,LKPC-R-A,HT-R-A,ATPL-R-A",22.01. 10:09,25.58%,"23,56%","25,01%",
33.,igoru,"(7) SNHO-R-A,PTKM-R-A,LKPC-R-A",09.01. 19:17,25.53%,"19,72%","24,80%",
34.,Kogo,"(1) RIVP-R-A,LPLH-R-A,DDJH-R-A",25.01. 09:44,25.48%,"24,35%","24,15%",
35.,vbresan,"(1) ARNT-R-A,RIVP-R-A,VPIK-R-A",24.01. 07:18,25.21%,"24,14%","23,88%",
36.,shef.sale,"(0) ATGR-R-A,KOES-R-A,LRH-R-A",24.01. 21:09,24.92%,"24,44%","23,59%",
37.,sonjci,"(1) PTKM-R-A,ARNT-R-A,VDKT-R-A,RIVP-R-A,LPLH-R-A,TUHO-R-A",21.01. 12:27,24.90%,"23,53%","24,30%",
38.,luka.os,"(1) ZVZD-R-A,LRH-R-A,RIVP-R-A",18.01. 09:53,24.85%,"23,84%","24,45%",
39.,navi,"(1) HT-R-A,RIVP-R-A,LRH-R-A",20.01. 10:19,24.65%,"21,98%","24,04%",
40.,jurax,"(0) ERNT-R-A,ZABA-R-A,PBZ-R-A",23.01. 11:11,23.60%,"12,76%","22,73%",
41.,shokre,"(2) ADRS-P-A,PODR-R-A,DDJH-R-A,RIVP-R-A,SNHO-R-A",24.01. 16:11,22.12%,"20,99%","20,79%",
42.,piny,"(0) ZVZD-R-A,ADRS-P-A,ADRS-R-A,BCIN-R-A",21.01. 20:29,21.73%,"19,89%","21,13%",
43.,ds12,"(2) HT-R-A,KOEI-R-A,RIVP-R-A",05.01. 11:07,21.69%,"18,36%","20,70%",
44.,Igor-H,"(4) ARNT-R-A,RIVP-R-A",03.01. 17:44,21.49%,"19,96%","20,50%",
45.,2fast4u,"(2) ARNT-R-A,LPLH-R-A,RIVP-R-A,VPIK-R-A,ADPL-R-A",09.01. 19:41,20.78%,"19,27%","20,05%",
46.,Štern,"(1) PBZ-R-A,KODT-R-A,LPLH-R-A,JMNC-R-A,VIRO-R-A",22.01. 16:13,19.28%,"16,50%","18,70%",
47.,mmojj,"(1) RIZO-R-A,RIVP-R-A,VPIK-R-A,PTKM-R-A",22.01. 20:37,19.01%,"18,24%","18,44%",
48.,woogreen,"(3) RIVP-R-A,BLJE-R-A,VPIK-R-A",25.01. 18:15,18.34%,"17,31%","17,02%",kruha i igara
49.,darac11,"(1) RIVP-R-A,ADPL-R-A,ADRS-P-A,HT-R-A,ATGR-R-A,ERNT-R-A",06.01. 12:22,18.14%,"12,05%","17,15%",
50.,Zorba,"(0) RIZO-R-A,LPLH-R-A,HUPZ-R-A,VPIK-R-A,DDJH-R-A",25.01. 18:55,18.01%,"17,78%","16,69%",
51.,OptimusPrime,"(0) VPIK-R-A,LPLH-R-A,DDJH-R-A,RIZO-R-A,PODR-R-A",24.01. 17:54,16.38%,"16,38%","15,06%",
52.,Moreplovac,"(1) ARNT-R-A,RIVP-R-A,DDJH-R-A",23.01. 13:24,16.16%,"15,13%","15,29%",
53.,stari_lisac,"(1) RIVP-R-A,SAPN-R-A,RIZO-R-A,PTKM-R-A,ARNT-R-A",22.01. 22:34,15.82%,"15,25%","15,25%",
54.,trigger,"(1) RIVP-R-A,LPLH-R-A,DDJH-R-A,VPIK-R-A",22.01. 08:15,15.56%,"14,79%","14,99%",
55.,ovchica,"(4) RIVP-R-A,ADPL-R-A,BCIN-R-A,KOTR-P-A,CKML-R-A,KODT-P-A",03.01. 21:33,15.51%,"11,58%","14,53%",
56.,rudonja,"(0) SAPN-R-A,BCIN-R-A,DDJH-R-A,VPIK-R-A,LPLH-R-A",23.01. 13:41,14.94%,"14,43%","14,07%",
57.,STRASco,"(1) RIVP-R-A,DDJH-R-A,ARNT-R-A,RIZO-R-A,ADPL-R-A,PODR-R-A",07.01. 18:05,14.54%,"13,13%","13,43%",
58.,ivkemec,"(1) ZABA-R-A,ADPL-R-A,RIVP-R-A,ADRS-R-A,CROS-R-A,HT-R-A",22.01. 19:36,14.49%,"10,99%","13,92%",
59.,sitnis,"(0) KODT-P-A,ATPL-R-A,ZABA-R-A,ERNT-R-A,SAPN-R-A,BCIN-R-A",22.01. 08:38,14.33%,"8,72%","13,76%",
60.,Mlohavi,"(11) HMST-R-A,LKPC-R-A,KOEI-R-A",09.01. 15:27,14.21%,"12,55%","13,47%",
61.,Kama3,"(1) ADPL-R-A,RIVP-R-A,VPIK-R-A,ARNT-R-A",23.01. 14:06,13.54%,"11,35%","12,67%",
62.,sazinovic,"(1) RIVP-R-A,ARNT-R-A,DDJH-R-A",20.01. 23:55,13.25%,"12,24%","12,65%",
63.,mojedionicee,"(1) RIVP-R-A,LEDO-R-A,ADRS-P-A,ADPL-R-A",23.01. 21:25,12.79%,"9,23%","11,92%",
64.,FoxMulder,"(0) TUHO-R-A,DIOK-R-A,LRH-R-A",24.01. 10:40,12.57%,"10,76%","11,25%",
65.,nturic,"(1) RIVP-R-A,ATPL-R-A,PODR-R-A,MGMA-R-A,ATGR-R-A,ADRS-R-A",23.01. 13:40,12.50%,"11,45%","11,63%",
66.,svetliPre,"(0) ATGR-R-A,PODR-R-A,ATPL-R-A,ADRS-P-A",03.01. 15:17,12.32%,"11,32%","11,33%",Tko izgubi dobitak dobije gubitak
67.,kresimirH,"(1) ZVZD-R-A,RIVP-R-A,VPIK-R-A,BCIN-R-A,ATPL-R-A",08.01. 10:40,11.58%,"10,58%","11,13%",
68.,nino979,"(2) ADPL-R-A,ZVZD-R-A,HT-R-A",25.01. 11:38,11.39%,"7,84%","10,06%",
69.,Corto,"(1) RIVP-R-A,JDPL-R-A,ATPL-R-A",23.01. 17:17,11.28%,"10,27%","10,41%",
70.,daisy,"(1) ADRS-R-A,ADPL-R-A,ERNT-R-A,ATPL-R-A,HT-R-A",24.01. 13:53,11.26%,"3,29%","9,93%",
71.,zoki,"(1) HUPZ-R-A,HIMR-R-A,VART-R-1",20.01. 14:30,11.25%,"10,87%","10,65%",
72.,avatar,"(2) ADPL-R-A,TUHO-R-A,ATPL-R-A,ERNT-R-A,KOEI-R-A,RIVP-R-A",24.01. 14:54,11.23%,"5,53%","9,90%",
73.,tihi,"(1) SLRS-R-A,BLJE-R-A,RIVP-R-A,MGMA-R-A,TNPL-R-A,RIZO-R-A",25.01. 12:26,11.05%,"10,44%","9,72%","Tko ne riskira, ne profitira... ili zgubi sve ;)"
74.,00000,"(1) KODT-P-A,RIZO-R-A,ADPL-R-A,RIVP-R-A,TNPL-R-A",03.01. 08:44,10.75%,"8,08%","9,77%",
75.,acuric,"(1) PODR-R-A,ATGR-R-A,LRH-R-A,RIVP-R-A,PTKM-R-A,PBZ-R-A",23.01. 20:23,10.34%,"8,77%","9,47%",
76.,NinaUna,"(0) ERNT-R-A,HT-R-A,PBZ-R-A",24.01. 08:52,10.28%,"-0,53%","8,95%",
77.,pavelinjo,"(1) ATPL-R-A,RIVP-R-A,ERNT-R-A",22.01. 05:08,9.74%,"2,54%","9,16%",
78.,b69087,"(0) HT-R-A,KOES-R-A,ADRS-P-A",24.01. 21:57,9.05%,"6,45%","7,73%",
79.,mhenc,"(1) ADPL-R-A,ATPL-R-A,RIVP-R-A",04.01. 15:44,8.87%,"6,14%","7,88%",
80.,engerix,"(1) SAPN-R-A,KODT-P-A,ZABA-R-A,VPIK-R-A,RIVP-R-A,ADPL-R-A",07.01. 19:34,8.82%,"5,96%","7,72%",
81.,M.aster,"(0) INA-R-A,ADRS-P-A,ADPL-R-A,ATGR-R-A,LEDO-R-A,PODR-R-A",25.01. 12:24,8.62%,"6,29%","7,30%",
82.,luka_d,"(1) RIVP-R-A,MGMA-R-A,DIOK-R-A,JDPL-R-A",23.01. 22:32,8.44%,"7,91%","7,57%",
83.,Munger,"(1) ATPL-R-A,RIVP-R-A,LEDO-R-A",25.01. 23:12,7.90%,"5,93%","6,58%",
84.,oknar,"(12) ARNT-R-A,RIVP-R-A,ATGR-R-A,BLJE-R-A,ATPL-R-A",03.01. 10:44,7.87%,"6,82%","6,88%",
85.,dadoni24,"(1) ATPL-R-A,TNPL-R-A,LKPC-R-A",13.01. 21:09,7.84%,"7,50%","7,57%",
86.,marne,"(1) PODR-R-A,RIVP-R-A,ADPL-R-A,DLKV-R-A,INA-R-A",22.01. 12:32,7.76%,"6,05%","7,18%",
87.,ktzt,"(1) RIVP-R-A,ATGR-R-A,KOTR-P-A,ADPL-R-A,ADRS-R-A,BLJE-R-A",24.01. 18:26,7.47%,"4,64%","6,15%",
88.,Rubens,"(1) ADPL-R-A,VPIK-R-A,RIVP-R-A",03.01. 14:46,7.41%,"4,67%","6,42%",
89.,barisa,"(1) PTKM-R-A,RIVP-R-A,DDJH-R-A,LPLH-R-A,RIZO-R-A",03.01. 14:47,7.19%,"6,61%","6,20%",
90.,mrezne,"(0) ERNT-R-A,BLJE-R-A,JDPL-R-A,CROS-R-A,ATGR-R-A,ADRS-R-A",22.01. 09:38,7.11%,"2,98%","6,54%",
91.,ivo099,"(1) LEDO-R-A,TISK-R-A,RIZO-R-A,ATPL-R-A,INA-R-A,ERNT-R-A",24.01. 20:59,6.97%,"2,83%","5,65%",
92.,Joe Šimunić,"(2) VPIK-R-A,PTKM-R-A,VERN-R-A,BCIN-R-A,DDJH-R-A,ARNT-R-A",04.01. 14:06,6.78%,"6,78%","5,80%",
93.,Bosanac,"(0) HT-R-A,CROS-R-A,KRAS-R-A,INA-R-A,TUHO-R-A,ZVZD-R-A",24.01. 17:20,6.61%,"4,83%","5,29%",
94.,dixi_,"(0) MGMA-R-A,PODR-R-A,ADRS-P-A",02.01. 23:37,6.52%,"5,69%","5,36%",
95.,atila,"(0) ZABA-R-A,CROS-R-A,ZVZD-R-A",25.01. 12:20,6.42%,"4,59%","5,09%",
96.,micho,"(0) INGR-R-A,KODT-R-A,ZABA-R-A",21.01. 12:34,5.91%,"2,69%","5,31%",
97.,jumbo,"(4) KODT-R-A,ATPL-R-A,AUHR-R-A",13.01. 18:12,5.55%,"3,99%","5,28%",
98.,citro,"(0) ATPL-R-A,HT-R-A,LEDO-R-A,ARNT-R-A,CROS-R-A",22.01. 08:43,5.54%,"3,79%","4,96%",
99.,neprepisuj,"(0) ZABA-R-A,LEDO-R-A,PODR-R-A,ATPL-R-A,TNPL-R-A",24.01. 22:03,5.52%,"3,54%","4,19%",
100.,faca172007,"(1) RIVP-R-A,ATGR-R-A,ERNT-R-A,INA-R-A,DDJH-R-A,HT-R-A",23.01. 15:36,5.01%,"0,39%","4,14%",
101.,nixon62,"(1) JDPL-R-A,LEDO-R-A,RIVP-R-A,ATGR-R-A,DLKV-R-A",21.01. 22:54,4.36%,"2,94%","3,76%",
102.,marinac,"(1) ATPL-R-A,ZABA-R-A,CROS-R-A,KOTR-P-A,ACI-R-A",25.01. 18:23,4.28%,"1,95%","2,95%",
103.,Bocvana,"(3) BLJE-R-A,RIVP-R-A,ADPL-R-A,ARNT-R-A,ATPL-R-A,INGR-R-A",07.01. 16:49,4.26%,"-0,38%","3,16%",
104.,spiderman,"(2) KOEI-R-A,ADRS-R-A,DDJH-R-A,RIVP-R-A,VART-R-1",23.01. 18:51,4.14%,"2,86%","3,27%",
105.,yaki,"(1) DLKV-R-A,RIVP-R-A,ARNT-R-A,ADPL-R-A",23.01. 15:07,4.14%,"2,03%","3,27%",
106.,ffive,"(1) PTKM-R-A,DDJH-R-A,ARNT-R-A,BCIN-R-A,RIVP-R-A",24.01. 09:32,4.01%,"3,01%","2,68%",
107.,veljac,"(1) ATPL-R-A,KOEI-R-A,VPIK-R-A,RIVP-R-A,ADPL-R-A,ULPL-R-A",24.01. 08:36,3.70%,"2,04%","2,37%",
108.,dali,"(3) RIVP-R-A,ARNT-R-A,JDPL-R-A",24.01. 10:28,3.40%,"2,50%","2,07%",
109.,mat(a)dor,"(1) RIVP-R-A,ADRS-P-A,ATPL-R-A,ADPL-R-A,ATGR-R-A,BLJE-R-A",22.01. 12:29,3.33%,"1,34%","2,75%",
110.,gklemenc,"(9) PLAG-R-A,ATGR-R-A,ADRS-P-A,BLJE-R-A,RIVP-R-A",04.01. 14:06,3.09%,"1,13%","2,11%",
111.,Crumarix,"(3) ATPL-R-A,ADPL-R-A,KSST-R-A",23.01. 21:41,2.85%,"-0,01%","1,98%",
112.,GARFIELDED,"(0) KOEI-R-A,VIRO-R-A,ADRS-R-A,ATGR-R-A",22.01. 13:51,2.66%,"1,28%","2,08%",
113.,malovitra,"(1) PTKM-R-A,ADPL-R-A,PODR-R-A,RIVP-R-A,SAPN-R-A,ARNT-R-A",23.01. 19:55,2.18%,"0,75%","1,31%",
114.,queen mony,"(7) VART-R-1,JDPL-R-A,INGR-R-A",03.01. 20:27,1.87%,"0,50%","0,88%",
115.,pacodel,"(3) RIVP-R-A,ERNT-R-A,LKPC-R-A,ARNT-R-A,ATGR-R-A,PTKM-R-A",17.01. 11:36,1.53%,"-3,73%","1,12%",ziheraš...
116.,bobil,"(1) DDJH-R-A,RIVP-R-A,PODR-R-A",22.01. 09:43,1.12%,"0,20%","0,54%",
117.,visvis,"(0) KRAS-R-A,HUPZ-R-A,ADPL-R-A,ADRS-P-A,ATPL-R-A",04.01. 01:23,1.11%,"-0,90%","0,13%",
118.,gordogan,"(6) LKPC-R-A,RIVP-R-A,ARNT-R-A,DDJH-R-A",03.01. 17:17,0.94%,"0,94%","-0,04%",
119.,joxdionica,"(0) MGMA-R-A,RIVP-R-A,INGR-R-A,LEDO-R-A",24.01. 09:47,0.91%,"-0,85%","-0,42%",
120.,beba1,"(0) ATGR-R-A,ERNT-R-A,BLJE-R-A",22.01. 11:41,0.48%,"-7,01%","-0,09%",
121.,Mjosic,"(1) BLJE-R-A,PODR-R-A,RIVP-R-A,INGR-R-A",22.01. 21:49,0.25%,"-0,40%","-0,33%",
122.,barni35zg,"(0) VDKT-R-A,ERNT-R-A,PODR-R-A,ADPL-R-A,ATGR-R-A",23.01. 14:12,0.06%,"-5,80%","-0,82%",
123.,bdel,"(0) BLJE-R-A,ATPL-R-A,KODT-P-A,RIZO-R-A",22.01. 08:56,-0.03%,"-1,17%","-0,60%",
124.,damir321,"(0) IGH-R-A,JDPL-R-A,KODT-P-A",21.01. 16:16,-0.29%,"-1,83%","-0,89%",
125.,MKC,"(1) RIVP-R-A,ATPL-R-A,ZVZD-R-A,LEDO-R-A,MGMA-R-A,INA-R-A",22.01. 10:06,-0.59%,"-1,55%","-1,17%",
126.,gricko,"(0) ATGR-R-A,ZVZD-R-A,BLJE-R-A,ERNT-R-A,HUPZ-R-A,LEDO-R-A",22.01. 16:18,-0.62%,"-5,13%","-1,19%",
127.,hansbeast,"(0) DDJH-R-A,RIZO-R-A,ZVZD-R-A",24.01. 00:53,-0.74%,"-0,74%","-2,07%",
128.,robilad,"(1) RIVP-R-A,MGMA-R-A,PTKM-R-A",05.01. 23:34,-0.83%,"-1,62%","-1,81%",
129.,Cicija,"(2) ATPL-R-A,RIVP-R-A,KODT-P-A,ZVZD-R-A,ADPL-R-A",04.01. 16:39,-1.06%,"-3,52%","-2,05%",
130.,metropolis,"(4) SNHO-R-A,VPIK-R-A,DDJH-R-A,ARNT-R-A,RIVP-R-A",24.01. 08:26,-1.14%,"-1,65%","-2,47%",
131.,BretFavre,"(0) PODR-R-A,ADPL-R-A,KODT-P-A",02.01. 22:35,-1.27%,"-4,90%","-2,43%",
132.,citroence,"(2) PODR-R-A,MGMA-R-A,ADPL-R-A,ERNT-R-A,ATGR-R-A,THNK-R-A",14.01. 18:12,-1.29%,"-5,84%","-1,88%",
133.,maxi,"(1) ZABA-R-A,RIVP-R-A,DDJH-R-A,BLJE-R-A",22.01. 11:51,-1.47%,"-3,33%","-2,05%",
134.,ribaa,"(9) ATPL-R-A,HBRL-R-A,HMST-R-A,ARNT-R-A",03.01. 19:58,-1.56%,"-1,56%","-2,55%",
135.,gurović,"(0) KRAS-R-A,LEDO-R-A,KOEI-R-A",22.01. 13:29,-1.57%,"-3,31%","-2,15%",
136.,TERMICH,"(1) RIVP-R-A,ATPL-R-A,ADPL-R-A,DLKV-R-A,ATGR-R-A",13.01. 16:17,-1.91%,"-3,81%","-2,18%",
137.,KrešoM,"(4) INGR-R-A,PTKM-R-A,DDJH-R-A",03.01. 08:51,-2.04%,"-2,04%","-3,02%",
138.,pitommacak,"(1) VDKT-R-A,DDJH-R-A,RIVP-R-A",03.01. 14:07,-2.19%,"-3,10%","-3,18%",
139.,gustav,"(0) BLJE-R-A,ADPL-R-A,JDPL-R-A,KOEI-R-A,ZABA-R-A",14.01. 12:29,-2.35%,"-5,05%","-2,94%",
140.,andja2208,"(5) BLJE-R-A,ATGR-R-A,VPIK-R-A,VIRO-R-A,ATPL-R-A",05.01. 11:46,-2.70%,"-3,00%","-3,69%",
141.,multiplex,"(0) PTKM-R-A,RIZO-R-A,TNPL-R-A",25.01. 22:23,-2.76%,"-3,08%","-4,09%",
142.,mjenjač,"(0) DDJH-R-A,ADPL-R-A,TNPL-R-A,ARNT-R-A,VPIK-R-A",04.01. 20:31,-3.12%,"-4,56%","-4,11%",
143.,pikibu,"(1) ADPL-R-A,LEDO-R-A,HT-R-A,PBZ-R-A,IPKK-R-A,ERNT-R-A",25.01. 12:56,-3.14%,"-10,24%","-4,47%",
144.,johnny009,"(1) ATPL-R-A,MGMA-R-A,RIVP-R-A,ADPL-R-A",22.01. 09:40,-3.23%,"-5,32%","-3,80%",
145.,mahniti,"(1) RIVP-R-A,ATPL-R-A,DDJH-R-A",10.01. 19:55,-3.31%,"-4,21%","-3,67%",
146.,Bimco,"(0) ERNT-R-A,PODR-R-A,VPIK-R-A,KOEI-R-A,RIZO-R-A",05.01. 18:30,-3.39%,"-8,07%","-4,37%",
147.,dasabic,"(2) ATGR-R-A,DDJH-R-A,PTKM-R-A,PODR-R-A,RIVP-R-A,ARNT-R-A",24.01. 13:07,-3.41%,"-4,03%","-4,74%",
148.,SHAHEEN,"(9) ARNT-R-A,PTKM-R-A,VPIK-R-A,KSST-R-A,ATGR-R-A,ATPL-R-A",11.01. 21:06,-3.52%,"-4,40%","-3,87%",
149.,gazpromcorp,"(11) RIVP-R-A,KODT-R-A,ATGR-R-A,INA-R-A,PLAG-R-A,ADPL-R-A",03.01. 19:06,-3.55%,"-7,66%","-4,54%",
150.,dudo,"(0) PODR-R-A,LPLH-R-A,DDJH-R-A,PTKM-R-A",03.01. 09:15,-4.09%,"-4,09%","-5,08%",
151.,zgtd,"(4) LPLH-R-A,DLKV-R-A,VART-R-1,RIVP-R-A,VPIK-R-A,DDJH-R-A",14.01. 22:01,-4.11%,"-5,09%","-4,70%",
152.,dejvin,"(1) RIVP-R-A,DDJH-R-A,PODR-R-A,LKPC-R-A,PTKM-R-A,RIZO-R-A",09.01. 16:17,-4.32%,"-4,73%","-5,06%","Moš mislit,opet minus"
153.,lutrija,"(0) PODR-R-A,ERNT-R-A,LEDO-R-A,HT-R-A,MGMA-R-A,KRAS-R-A",22.01. 10:34,-4.43%,"-9,40%","-5,01%",
154.,hbardek,"(0) ATPL-R-A,PODR-R-A,HUPZ-R-A,BLJE-R-A",07.01. 14:15,-5.11%,"-5,43%","-6,21%",
155.,blogerrr,"(0) KOEI-R-A,ATGR-R-A,VIRO-R-A,ATPL-R-A,INA-R-A",24.01. 20:43,-5.12%,"-5,76%","-6,45%",
156.,Vid,"(1) ADPL-R-A,KODT-P-A,PODR-R-A,TNPL-R-A",08.01. 02:39,-5.15%,"-7,99%","-5,60%",
157.,VILITIMI,"(1) RIVP-R-A,ATPL-R-A,PTKM-R-A,INA-R-A,DDJH-R-A,ERNT-R-A",22.01. 13:46,-5.20%,"-8,70%","-5,78%",
158.,truli,"(1) VDKT-R-A,VPIK-R-A,BLJE-R-A,MGMA-R-A,ATPL-R-A,RIVP-R-A",06.01. 15:46,-5.20%,"-5,62%","-6,19%",
159.,ratko41,"(8) HIMR-R-A,INGR-R-A,HMST-R-A",07.01. 18:46,-5.51%,"-8,49%","-6,61%",
160.,goran8012,"(0) VDKT-R-A,ADRS-P-A,TNPL-R-A",17.01. 13:09,-5.52%,"-6,60%","-5,92%",
161.,hraguz,"(3) VPIK-R-A,LPLH-R-A,RIVP-R-A",03.01. 19:40,-5.57%,"-12,68%","-6,55%",
162.,Domagoj,"(0) ADPL-R-A,HUPZ-R-A,VDKT-R-A",03.01. 20:45,-5.59%,"-8,10%","-6,58%",
163.,top portfelj,"(0) INGR-R-A,ZABA-R-A,LEDO-R-A,PBZ-R-A,DLKV-R-A,ATPL-R-A",22.01. 11:39,-5.78%,"-8,25%","-6,36%",pobjednik godine
164.,Mornari,"(0) ATPL-R-A,ULPL-R-A,TNPL-R-A,JDPL-R-A",03.01. 10:31,-5.83%,"-6,07%","-6,81%",Punim jedrima naprijed
165.,senf,"(3) RIVP-R-A,INGR-R-A,PTKM-R-A",07.01. 13:10,-5.95%,"-10,44%","-7,06%",
166.,ivan_777,"(0) ATGR-R-A,INGR-R-A,MGMA-R-A",22.01. 17:42,-6.31%,"-6,78%","-6,88%",
167.,vodoinstalater,"(0) PODR-R-A,KODT-R-A,IGH-R-A,ATPL-R-A",22.01. 07:18,-6.65%,"-7,69%","-7,22%",
168.,sime,"(2) VART-R-1,HIMR-R-A,RIZO-R-A",21.01. 21:38,-6.86%,"-6,86%","-7,46%",
169.,nula rizika,"(0) ATPL-R-A,TNPL-R-A,RIZO-R-A",03.01. 11:03,-7.04%,"-7,36%","-8,02%",
170.,ivana7777,"(0) KOTR-P-A,KODT-R-A,ATPL-R-A,TNPL-R-A,KODT-P-A,ADPL-R-A",21.01. 12:51,-7.24%,"-10,88%","-7,84%",
171.,moon22walker,"(0) VPIK-R-A,ULPL-R-A,HT-R-A,ZABA-R-A,ADPL-R-A,JDPL-R-A",03.01. 13:42,-7.49%,"-10,25%","-8,48%",
172.,LUCKY1,"(0) LKPC-R-A,BLJE-R-A,TNPL-R-A",22.01. 13:22,-7.57%,"-7,85%","-8,15%",
173.,Siki,"(1) ADPL-R-A,DDJH-R-A,VPIK-R-A,RIVP-R-A",07.01. 13:23,-7.59%,"-9,53%","-8,69%",
174.,acdc,"(0) JDPL-R-A,ATPL-R-A,TNPL-R-A",21.01. 18:17,-7.65%,"-7,90%","-8,25%",brodari
175.,nuclearhazard,"(0) BLJE-R-A,VPIK-R-A,ZABA-R-A",25.01. 19:17,-8.34%,"-10,17%","-9,67%",
176.,bob1391,"(4) RIVP-R-A,JDPL-R-A,BLJE-R-A",13.01. 19:07,-8.48%,"-9,61%","-8,75%",
