RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
30.,NB,"(1) HT-R-A,CHAG-R-A,TNPL-R-A",23.12. 14:27,3.71%,"-2,26%","-4,58%","Dividenda sigurna i redovna u neizvjesnoj 2010.godini, uz rizik kupnje jednog brodara"
31.,zane,"(0) ERNT-R-A,ADRS-P-A,HT-R-A,ATPL-R-A,CROS-R-A",29.12. 09:45,3.25%,"-2,00%","-4,29%",
32.,Barbus,"(0) INDG-R-A,HT-R-A,VERN-R-A,KOEI-R-A,PODR-R-A,JDPL-R-A",19.01. 15:55,3.00%,"1,08%","3,36%",
33.,kockar,"(1) ERNT-R-A,ADRS-P-A,FRNK-R-A,BPBA-R-A,HT-R-A,JDPL-R-A",24.12. 09:12,2.57%,"-1,41%","-4,99%","Jak dividendni mix plus tri preprodane, FRNK,JDPL,BPBA ,očekujem visoki prinos, iznad 30%"
34.,Stanko,"(1) ATGR-R-A,JDPL-R-A,FMPS-R-A,VIRO-R-A,DLKV-R-A,ERNT-R-A",26.12. 08:05,2.22%,"0,54%","-5,83%",
35.,plavi,"(0) LKPC-R-A,ULPL-R-A,KOEI-R-A",14.01. 06:42,1.92%,"0,90%","0,95%",
36.,bujto,"(1) ZVZD-R-A,HT-R-A,ADRS-P-A",30.12. 14:28,1.36%,"-1,69%","-6,36%",
37.,FerengiHR,"(0) DLKV-R-A,ADRS-P-A,ULPL-R-A,LEDO-R-A,PTKM-R-A,HT-R-A",24.12. 21:07,1.27%,"-1,80%","-6,78%","Nakon prinosa od 21.66% na najportfelju iz 2009, te mizernog 34 mjesta, ovaj novi portfelj mora u 2010 biti pobjednički."
38.,rambo11,"(0) HT-R-A,ZABA-R-A,PBZ-R-A,ADRS-P-A,ZVZD-R-A,LEDO-R-A",30.12. 19:19,1.22%,"-3,12%","-7,31%",
39.,Hrx,"(5) HTPK-R-A,ZVCV-R-A,KABA-R-A,BRBA-P-A",10.01. 16:27,0.77%,"0,48%","-2,80%",
40.,frentolina,"(0) HT-R-A,KORF-R-A,SNBA-R-A",12.01. 09:19,0.76%,"-3,16%","-1,00%",
41.,linn,"(0) ATPL-R-A,ERNT-R-A,HT-R-A,ADRS-R-A",13.01. 00:27,0.57%,"-5,57%","-1,56%",
42.,molive,"(0) ULPL-R-A,PBZ-R-A,RIBA-R-A,CEBA-R-A",04.01. 20:57,0.54%,"-1,63%","-5,64%",
43.,svido,"(0) ADRS-P-A,KODT-R-A,ATPL-R-A",20.12. 17:57,-1.05%,"-4,36%","-9,56%",
44.,ALL IN,"(0) PODR-R-A,HT-R-A,JDBA-R-A,DLKV-R-A,KORF-R-A",20.01. 08:20,-2.88%,"-6,41%","-2,65%",AJMOOOOOOO
45.,speedy717,"(0) KODT-P-A,ERNT-R-A,IPKK-R-A,TNPL-R-A,JNAF-R-A,JDGT-R-A",14.01. 21:35,-2.96%,"-7,17%","-3,83%",
46.,aspalathos,"(0) KODT-R-A,JDPL-R-A,LKPC-R-A",14.01. 20:01,-3.61%,"-5,26%","-4,48%",
47.,ripero,"(0) ATPL-R-A,AUHR-R-A,VDKT-R-A,KORF-R-A,PIKR-R-A",11.01. 09:59,-3.62%,"-8,74%","-7,19%",
48.,Klasimidix,"(7) HT-R-A,ATGR-R-A,INGR-R-A,HGSP-R-A,ISTT-R-A,ZABA-R-A",20.01. 21:42,-4.31%,"-6,43%","-3,47%","Više niš nebum trgovao, nek se zgori!"
49.,daisy,"(0) LKPC-R-A,HT-R-A,PODR-R-A,ATPL-R-A",12.01. 23:36,-4.56%,"-7,94%","-6,70%",
50.,25_crveno,"(0) ADRS-P-A,TNSA-R-A,INDG-R-A,KORF-R-A",04.01. 09:09,-4.73%,"-5,40%","-11,92%",
51.,djordano,"(0) PODR-R-A,JDPL-R-A,KODT-P-A",13.01. 15:27,-4.97%,"-6,82%","-7,11%",
52.,mahatma,"(0) INDG-R-A,KODT-P-A,MGMA-R-A",14.01. 20:08,-5.10%,"-6,87%","-5,97%",
53.,jumbo,"(1) ULPL-R-A,HTPK-R-A,AUHR-R-A,KOKA-R-A,KODT-P-A,CHAG-R-A",14.01. 12:22,-5.23%,"-8,64%","-6,20%",
54.,no name,"(0) DDJH-R-A,JDPL-R-A,HT-R-A",09.01. 13:11,-5.33%,"-9,38%","-8,91%",
55.,diegom,"(0) INGR-R-A,HT-R-A,CKML-R-A,ADRS-P-A",18.01. 18:07,-5.34%,"-9,89%","-4,98%",
56.,Crumarix,"(9) BLJE-R-A,ATPL-R-A,JMNC-R-A,HT-R-A,BLSC-R-A,INA-R-A",18.12. 23:20,-5.56%,"-6,03%","-14,07%","he,he......he....hu....joj !"
57.,pljuger,"(0) LEDO-R-A,HT-R-A,VIRO-R-A,PBZ-R-A,JNAF-R-A,ATPL-R-A",13.01. 11:29,-5.62%,"-8,36%","-7,75%",
58.,marijan1,"(0) THNK-R-A,INGR-R-A,INA-R-A",17.01. 20:50,-6.04%,"-6,04%","-5,66%",
59.,robben,"(1) HT-R-A,SNBA-R-A,ULPL-R-A,ADRS-P-A,ATPL-R-A",15.01. 09:25,-6.59%,"-10,25%","-7,46%",
60.,tonzino,"(1) CKML-R-A,ATPL-R-A,JNAF-R-A,ATGR-R-A,HT-R-A,INGR-R-A",26.12. 07:09,-6.62%,"-9,58%","-14,67%",
61.,bilokoje,"(1) JDPL-R-A,VIRO-R-A,ADRS-P-A",30.12. 15:01,-7.19%,"-7,99%","-14,92%",
62.,zvonix1,"(0) THNK-R-A,ATPL-R-A,LEDO-R-A,LRH-R-A,ADRS-R-A,DIOK-R-A",09.01. 21:49,-7.20%,"-7,94%","-10,77%",
63.,piny,"(0) MMTZ-R-A,ADRS-R-A,MAIS-R-A",02.01. 12:51,-7.54%,"-8,34%","-14,72%",
64.,bigblu,"(2) KODT-P-A,LKRI-R-A,HT-R-A,TISK-R-A,LURA-R-A,KODT-R-A",13.01. 13:24,-7.56%,"-10,89%","-9,69%",Sreča prati hrabre.... ;)
65.,doblo,"(0) JNAF-R-A,HT-R-A,JDPL-R-A,ATPL-R-A",08.01. 12:21,-7.67%,"-11,23%","-11,99%",
66.,cico,"(0) LRH-R-A,PODR-R-A,VIRO-R-A,INGR-R-A",13.01. 13:53,-7.95%,"-7,95%","-10,08%",
67.,magix,"(3) ADRS-P-A,HTPK-R-A,MAIS-R-A,KORF-R-A,SNHO-R-A",20.01. 11:46,-8.00%,"-8,65%","-7,77%",
68.,calado,"(1) IPKK-R-A,HT-R-A,ADRS-P-A,AUHR-R-A",08.01. 00:28,-8.82%,"-13,48%","-13,14%",kruha i igara
69.,hijo,"(2) JDPL-R-A,LPLH-R-A,ATPL-R-A,TNPL-R-A",26.12. 23:14,-9.13%,"-11,80%","-17,18%",
70.,zekpo,"(0) TOZ-R-A,HT-R-A,ADRS-P-A,DLKV-R-A,PRFC-R-A",30.12. 14:45,-9.16%,"-12,19%","-16,89%",
71.,tom2001,"(1) JDPL-R-A,ATPL-R-A,ERNT-R-A,ADRS-P-A,KOEI-R-A,HT-R-A",20.01. 14:44,-9.24%,"-12,92%","-9,01%",
72.,daraboka,"(0) LRH-R-A,TISK-R-A,JDPL-R-A,ATPL-R-A,ATGR-R-A,VDKT-R-A",20.01. 08:52,-9.83%,"-11,05%","-9,59%",
73.,GrleREB,"(0) ATPL-R-A,ADRS-P-A,DDJH-R-A,KORF-R-A,DLKV-R-A,VIRO-R-A",05.01. 09:45,-10.11%,"-10,90%","-16,29%",
74.,obiwan,"(0) HGSP-R-A,INDG-R-A,HT-R-A",07.01. 14:40,-10.33%,"-14,44%","-15,10%",
75.,bumbar@cvjetic,"(0) IGH-R-A,INGR-R-A,DIOK-R-A,INA-R-A",01.01. 14:32,-10.41%,"-10,41%","-17,60%",
76.,lanax72,"(1) HT-R-A,ADRS-R-A,KNZM-R-A,OPTE-R-A",30.12. 11:56,-10.58%,"-14,18%","-18,31%",
77.,brodari,"(1) HT-R-A,ATPL-R-A,LKPC-R-A,JDPL-R-A,ULPL-R-A,TNPL-R-A",20.01. 08:50,-11.85%,"-14,43%","-11,62%",
78.,drax,"(2) DLKV-R-A,ADRS-P-A,IGH-R-A,KOEI-R-A,ATPL-R-A,ERNT-R-A",14.01. 08:28,-12.14%,"-14,19%","-13,11%",Crobex10
79.,moon22walker,"(0) KRAS-R-A,ULPL-R-A,VLDS-R-A,ERNT-R-A,JDPL-R-A,FNVC-R-A",15.01. 07:11,-13.46%,"-16,48%","-14,33%",
80.,Patrikk,"(6) SLPF-R-A,ATGR-R-A,ULPL-R-A,ATPL-R-A,PODR-R-A",03.01. 22:22,-14.31%,"-17,10%","-21,50%",
81.,mtrupinic,"(0) ATPL-R-A,JNAF-R-A,TNPL-R-A,HDEL-R-A,HT-R-A,THNK-R-A",07.01. 17:10,-14.35%,"-16,72%","-18,66%",
82.,dubravac,"(2) JDPL-R-A,DLKV-R-A,LEDO-R-A",31.12. 13:24,-14.83%,"-17,00%","-23,36%",18.03. izbacio sam ZVZD-R-A. Umjesto nje ubacio sam jednog brodara (JDPL).
83.,Sayes,"(0) KODT-P-A,THNK-R-A,KODT-R-A,INGR-R-A,ATPL-R-A,KOEI-R-A",15.01. 12:02,-14.93%,"-16,96%","-15,80%",
84.,dio,"(2) IGH-R-A,LVCV-R-A,THNK-R-A",14.01. 15:14,-15.62%,"-17,90%","-16,60%",
85.,efofiks,"(2) ADRS-P-A,DLKV-R-A,IGH-R-A",17.12. 20:34,-16.01%,"-16,86%","-23,02%",
86.,zbilic,"(0) TNSA-R-A,ATPL-R-A,VIRO-R-A,ADRS-P-A,JDPL-R-A",10.01. 17:46,-16.60%,"-17,53%","-20,18%",
87.,jurex,"(0) BLJE-R-A,BD62-R-A,LRH-R-A,INGR-R-A",14.01. 23:32,-17.29%,"-17,29%","-18,16%",
88.,Cicija,"(0) ATPL-R-A,DLKV-R-A,TISK-R-A,HT-R-A",25.12. 12:29,-17.52%,"-21,15%","-25,57%",
89.,Geronimo7,"(1) TNPL-R-A,HT-R-A,ATPL-R-A",18.01. 11:47,-17.55%,"-22,13%","-17,17%",
90.,leconte,"(0) JDPL-R-A,ATPL-R-A,DLKV-R-A",01.01. 19:40,-17.78%,"-18,48%","-24,96%",
91.,Nalet,"(0) LKPC-R-A,INGR-R-A,LKRI-R-A,BLJE-R-A,JNAF-R-A,TISK-R-A",10.01. 18:11,-18.09%,"-18,09%","-21,66%",
92.,prof1,"(6) HGSP-R-A,IGH-R-A,INGR-R-A",13.01. 10:13,-18.19%,"-20,24%","-20,33%",Idemo na dno...
93.,_sin_,"(1) VLDS-R-A,HT-R-A,ULPL-R-A",23.12. 13:32,-18.66%,"-23,28%","-26,96%",
94.,facazplaca,"(8) PODR-R-A,JDPL-R-A,VIRO-R-A,OPTE-R-A,INGR-R-A,KRAS-R-A",30.12. 15:24,-18.88%,"-21,88%","-26,61%",tko se boji vuka još
95.,borg,"(0) FNVC-R-A,LKRI-R-A,VIRO-R-A,INGR-R-A,LEDO-R-A,LPLH-R-A",17.01. 17:51,-18.94%,"-18,94%","-18,55%",
96.,istriano,"(1) VLHO-R-A,ERNT-R-A,ATPL-R-A,HTPK-R-A,DDJH-R-A,IGH-R-A",18.12. 17:04,-21.75%,"-25,38%","-30,26%",
97.,bokios,"(0) ULPL-R-A,JDPL-R-A,IGH-R-A",11.01. 12:49,-22.54%,"-23,59%","-26,12%",
98.,montego bay,"(0) PODR-R-A,THNK-R-A,JNAF-R-A,LPLH-R-A,HGSP-R-A",15.01. 19:37,-22.63%,"-22,63%","-22,25%",
99.,Lisac,"(0) INGR-R-A,ULPL-R-A,IGH-R-A,ATPL-R-A,BD62-R-A",04.01. 12:50,-23.28%,"-24,37%","-30,47%",
100.,miško,"(1) KORF-R-A,DKVS-R-A,DLKV-R-A,DIOK-R-A,ATPL-R-A,DDJH-R-A",28.12. 01:22,-24.22%,"-24,98%","-32,27%",
101.,Bik koji sjedi,"(0) DLKV-R-A,TNPL-R-A,DIOK-R-A,HDEL-R-A,CROS-R-A",14.01. 12:30,-24.72%,"-24,72%","-25,69%",
102.,andrle,"(0) VIRO-R-A,INGR-R-A,TNPL-R-A,ATPL-R-A,ULPL-R-A",17.01. 01:13,-27.11%,"-28,10%","-26,73%",
103.,dollydur,"(0) ADPL-R-A,THNK-R-A,DLKV-R-A,ATPL-R-A,OPTE-R-A,HGSP-R-A",18.01. 12:04,-27.26%,"-27,85%","-26,88%",
104.,calypso,"(1) PODR-R-A,INGR-R-A,HT-R-A,HTPK-R-A,LKRI-R-A,VLDS-R-A",07.01. 05:05,-28.59%,"-30,32%","-33,37%",
105.,multiplex,"(0) IGH-R-A,THNK-R-A,DLKV-R-A",14.01. 09:53,-31.35%,"-31,35%","-32,32%",
106.,G. House,"(0) DDJH-R-A,DLKV-R-A,INGR-R-A,IGH-R-A",29.12. 23:26,-31.36%,"-31,36%","-39,08%",
107.,markop,"(0) VLDS-R-A,OPTE-R-A,IGH-R-A,ATPL-R-A,DLKV-R-A",22.12. 11:24,-32.98%,"-33,41%","-43,82%",
108.,MMBJ,"(0) HT-R-A,VART-R-1,HGSP-R-A",20.01. 12:10,-33.86%,"-37,70%","-33,62%",
109.,lost,"(0) BD62-R-A,DDJH-R-A,VLDS-R-A",15.01. 10:31,-35.38%,"-35,38%","-36,25%",Inače nebi uzeo te ali pošto se igramo...
110.,miljuni,"(0) HGSP-R-A,INGR-R-A,BD62-R-A,HDEL-R-A,OPTE-R-A,IGH-R-A",05.01. 19:02,-39.06%,"-39,06%","-43,84%",TO je TO
111.,topalov5,"(0) PTKM-R-A,VLDS-R-A,INGR-R-A",16.01. 17:00,-39.24%,"-39,24%","-38,85%",
112.,escalator,"(0) INGR-R-A,DDJH-R-A,TISK-R-A,VLDS-R-A,IPKK-R-A,DLKV-R-A",06.01. 14:34,-41.56%,"-41,56%","-46,33%",Act as if it were impossible to fail
113.,Smart,"(0) HTPK-R-A,KSST-R-A,HGSP-R-A",04.01. 14:47,-51.80%,"-51,80%","-58,98%",
