RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
36.,mkc,"(1) INGR-R-A,ATPL-R-A,ACI-R-A,DLKV-R-A,VART-R-1,PTKM-R-A",05.01. 11:35,10.03%,"10,03%","8,14%",
37.,mariabrankica,"(3) ARNT-R-A,SNHO-R-A,VLHO-R-A,BLJE-R-A,ADRS-R-A,MAIS-R-A",24.01. 23:10,9.82%,"9,35%","12,99%",
38.,dasat,"(1) ADRS-R-A,ULPL-R-A,DIOK-R-A,ATPL-R-A,INGR-R-A,ADPL-R-A",22.01. 15:18,9.50%,"7,16%","12,36%",
39.,ramiroo,"(0) VPIK-R-A,IPKK-R-A,KORF-R-A,KOEI-R-A",05.01. 11:51,9.13%,"8,67%","7,24%",
40.,Patrikk,"(0) VDKT-R-A,VIRO-R-A,TUHO-R-A,KORF-R-A,KOEI-R-A",08.01. 21:42,8.83%,"7,26%","8,14%",
41.,ivan22,"(4) ADPL-R-A,ADRS-P-A,IPKK-R-A",22.01. 14:22,8.73%,"3,82%","11,59%",
42.,ds12,"(6) PODR-R-A,ATGR-R-A,KORF-R-A",03.01. 19:42,8.65%,"3,85%","7,17%",Courage is like a muscle; it is strengthened by use.
43.,donDino,"(0) MAIS-R-A,ADPL-R-A,ADRS-P-A,KORF-R-A,VPIK-R-A,DDJH-R-A",21.01. 17:11,8.54%,"7,01%","10,88%",
44.,_sin_,"(2) VPIK-R-A,LEDO-R-A,VIRO-R-A",03.01. 13:03,7.96%,"7,36%","6,47%",
45.,sadas,"(0) LEDO-R-A,ADRS-P-A,ADPL-R-A,KOEI-R-A",10.01. 13:11,7.42%,"4,23%","7,63%",
46.,brankom,"(0) ACI-R-A,HT-R-A,ADRS-P-A,ADPL-R-A,ERNT-R-A,CROS-R-A",21.01. 15:48,7.34%,"2,33%","9,68%",
47.,pitommacak,"(1) VDKT-R-A,VPIK-R-A,ADRS-P-A,ADPL-R-A,KORF-R-A",02.01. 11:12,7.22%,"5,20%","3,52%",
48.,Overlord666,"(1) IPKK-R-A,ERNT-R-A,KORF-R-A,HT-R-A,ZABA-R-A,ADRS-P-A",04.01. 10:11,7.15%,"3,09%","5,26%",
49.,leg-dionice,"(1) ATPL-R-A,ARNT-R-A,MAIS-R-A,LEDO-R-A,ADRS-R-A,DIOK-R-A",24.01. 11:34,7.07%,"6,40%","10,23%",
50.,darac11,"(0) HT-R-A,ADPL-R-A,ADRS-P-A,ATGR-R-A,ERNT-R-A,KORF-R-A",21.01. 21:09,6.77%,"1,54%","9,11%",
51.,Domagoj,"(1) BLJE-R-A,ZVZD-R-A,ADPL-R-A",05.01. 02:44,6.74%,"0,70%","4,84%",
52.,Idemoooo,"(0) JDPL-R-A,ADPL-R-A,PODR-R-A,VPIK-R-A,DDJH-R-A",21.01. 17:47,6.63%,"5,28%","8,97%",
53.,portfeljbm,"(0) VPIK-R-A,ARNT-R-A,KORF-R-A,DDJH-R-A",21.01. 18:00,6.54%,"6,54%","8,87%",
54.,jumbo,"(3) IGH-R-A,DIOK-R-A,ATPL-R-A,TNPL-R-A",07.01. 11:05,6.03%,"4,32%","4,38%",
55.,2fast4u,"(0) DDJH-R-A,KORF-R-A,IPKK-R-A,ADPL-R-A",07.01. 09:51,5.91%,"4,17%","4,26%",
56.,zvonimir2,"(0) KORF-R-A,IPKK-R-A,ADPL-R-A",22.01. 21:28,5.71%,"3,46%","8,57%",
57.,DAVOR...,"(7) SLRS-R-A,KORF-R-A,ARNT-R-A",22.01. 09:21,5.36%,"5,36%","8,22%",
58.,visvis,"(2) ATPL-R-A,LKRI-R-A,ADPL-R-A,KNZM-R-A,INGR-R-A",22.01. 19:07,5.04%,"3,32%","7,90%",
59.,kangar,"(1) KODT-R-A,IPKK-R-A,LEDO-R-A,CROS-R-A",05.01. 22:05,4.63%,"2,93%","2,74%",
60.,fg43085,"(0) DDJH-R-A,ADPL-R-A,ARNT-R-A,VLHO-R-A,PTKM-R-A,KORF-R-A",22.01. 14:51,4.59%,"3,46%","7,45%",
61.,fortitudo2000,"(0) ATPL-R-A,VIRO-R-A,BLJE-R-A,KORF-R-A,PTKM-R-A",22.01. 10:11,3.89%,"3,89%","6,75%",
62.,mboskovic,"(0) VPIK-R-A,KORF-R-A,ADPL-R-A,IPKK-R-A,ACI-R-A,BD62-R-A",03.01. 19:12,3.87%,"2,66%","2,39%",
63.,Mystt,"(3) IPKK-R-A,ATPL-R-A,KORF-R-A,ERNT-R-A",18.01. 17:52,3.41%,"1,39%","6,07%",Igra je uvijek naj zanimljiviji dio života.
64.,lepi 2,"(0) PTKM-R-A,KORF-R-A,ACI-R-A",22.01. 12:21,3.32%,"3,32%","6,18%",
65.,skosi,"(1) ERNT-R-A,HT-R-A,ADRS-R-A,LEDO-R-A,KRAS-R-A",07.01. 21:14,3.31%,"-1,77%","1,66%",
66.,barmen,"(0) VIRO-R-A,IPKK-R-A,VPIK-R-A",03.01. 22:57,3.31%,"3,31%","1,82%",
67.,privateer,"(1) VPIK-R-A,IPKK-R-A,JDRA-R-A,ARNT-R-A,PTKM-R-A,KORF-R-A",22.01. 21:17,3.04%,"3,04%","5,90%",gangnam style :)
68.,tom2001,"(0) ZABA-R-A,HT-R-A,ERNT-R-A,VIRO-R-A,PTKM-R-A,ATPL-R-A",22.01. 09:17,2.88%,"-1,47%","5,74%",
69.,zeljstar,"(1) LEDO-R-A,VIRO-R-A,KORF-R-A,KOEI-R-A",24.01. 09:09,2.77%,"1,97%","5,93%",
70.,levito,"(1) ADPL-R-A,IPKK-R-A,DDJH-R-A",02.01. 22:18,2.77%,"0,19%","-0,93%",
71.,ds0756,"(0) ATGR-R-A,ADRS-P-A,ERNT-R-A,PODR-R-A",17.01. 11:42,2.62%,"-1,18%","5,01%",
72.,dschneider,"(0) ACI-R-A,ATPL-R-A,DDJH-R-A,HT-R-A,HDEL-R-A,INGR-R-A",21.01. 19:16,2.27%,"0,70%","4,61%",
73.,Bocvana,"(0) ADPL-R-A,ERNT-R-A,ADRS-P-A,INGR-R-A,KORF-R-A,VIRO-R-A",21.01. 14:10,2.25%,"-1,19%","4,59%",
74.,nturic,"(0) ERNT-R-A,KORF-R-A,ATGR-R-A,VPIK-R-A,ADPL-R-A,PTKM-R-A",21.01. 18:43,2.23%,"-1,02%","4,57%",
75.,nakfra666,"(0) KORF-R-A,ADPL-R-A,PTKM-R-A,TISK-R-A,ARNT-R-A",21.01. 18:04,1.51%,"0,16%","3,85%",
76.,bob1391,"(4) VDKT-R-A,KORF-R-A,ATGR-R-A",22.01. 12:08,1.42%,"0,82%","4,28%",
77.,pelk,"(2) VDKT-R-A,INGR-R-A,ATPL-R-A",22.01. 23:57,1.41%,"0,87%","4,27%",
78.,ivana7777,"(0) KODT-R-A,ZABA-R-A,KOEI-R-A",25.01. 10:43,0.55%,"-3,44%","3,73%",
79.,Condor04,"(0) ERNT-R-A,ATPL-R-A,DLKV-R-A,LKRI-R-A",22.01. 11:44,0.36%,"-2,50%","3,22%",
80.,kris,"(0) TISK-R-A,VLHO-R-A,MAIS-R-A,BLJE-R-A",24.01. 19:59,0.31%,"0,31%","3,48%",
81.,nino979,"(0) ADPL-R-A,IPKK-R-A,HT-R-A",13.01. 20:49,0.23%,"-5,27%","2,22%",
82.,pivi19,"(0) KORF-R-A,DDJH-R-A,PODR-R-A",21.01. 21:29,0.02%,"0,02%","2,35%",
83.,istriano,"(10) HT-R-A,DDJH-R-A,ADPL-R-A,ATPL-R-A,LKRI-R-A,DLKV-R-A",10.01. 20:06,-0.06%,"-1,59%","0,16%",
84.,cjosip,"(0) INA-R-A,ADPL-R-A,ADRS-R-A",22.01. 10:07,-0.07%,"-3,33%","2,79%",
85.,micho,"(0) VDKT-R-A,IPKK-R-A,ADPL-R-A",07.01. 10:17,-0.11%,"-2,42%","-1,76%",
86.,vlado100,"(0) LEDO-R-A,CROS-R-A,ERNT-R-A,JNAF-R-A,VDKT-R-A",17.01. 16:45,-0.72%,"-3,48%","1,66%",TOP PET
87.,iiinnn,"(0) ADRS-P-A,CROS-R-A,VDKT-R-A,VPIK-R-A,MAIS-R-A,HDEL-R-A",21.01. 14:39,-0.86%,"-1,27%","1,48%",
88.,veho_sb,"(2) DDJH-R-A,ARNT-R-A,ADPL-R-A,KORF-R-A",21.01. 14:17,-1.12%,"-4,70%","1,22%",
89.,shokre,"(0) VDKT-R-A,ADRS-R-A,CROS-R-A,KNZM-R-A,ERNT-R-A,ATGR-R-A",25.01. 10:44,-1.22%,"-4,09%","1,95%",
90.,Nevals,"(0) ADPL-R-A,TISK-R-A,PTKM-R-A,KORF-R-A,VPIK-R-A,DDJH-R-A",04.01. 14:47,-1.29%,"-2,45%","-3,18%",
91.,merc124,"(0) DDJH-R-A,ZVZD-R-A,KORF-R-A,ARNT-R-A,BLJE-R-A,ADPL-R-A",23.01. 14:18,-1.31%,"-2,40%","1,81%",
92.,rovinj8,"(0) VIRO-R-A,VPIK-R-A,INGR-R-A,ZABA-R-A,KORF-R-A,ADPL-R-A",15.01. 16:32,-1.32%,"-3,33%","-0,09%",
93.,drava,"(0) HDEL-R-A,ERNT-R-A,VDKT-R-A,VPIK-R-A,TISK-R-A,ATPL-R-A",22.01. 13:54,-1.39%,"-3,30%","1,47%",
94.,marne,"(0) PODR-R-A,KODT-R-A,INA-R-A",25.01. 22:57,-1.47%,"-3,40%","1,71%",
95.,LUCKY1,"(0) ATPL-R-A,INGR-R-A,BLJE-R-A,LKPC-R-A",15.01. 16:33,-1.50%,"-1,50%","-0,27%",kockarski
96.,manimanimani,"(3) BLJE-R-A,ATPL-R-A,BD62-R-A,DIOK-R-A,INGR-R-A,JDPL-R-A",18.01. 23:00,-1.57%,"-1,57%","1,09%",
97.,dd1979,"(1) PTKM-R-A,KORF-R-A,SAPN-R-A,DDJH-R-A,VPIK-R-A,VART-R-1",04.01. 22:45,-1.72%,"-2,94%","-3,61%",
98.,mogul,"(0) ADRS-R-A,KOEI-R-A,DDJH-R-A,KORF-R-A,ADPL-R-A,PTKM-R-A",22.01. 18:07,-2.00%,"-3,79%","0,86%",
99.,shabaneli,"(1) PTKM-R-A,HT-R-A,VIRO-R-A",08.01. 12:24,-2.06%,"-5,71%","-2,75%",
100.,pjerkovic,"(1) ATPL-R-A,BD62-R-A,JNAF-R-A",24.01. 19:26,-2.07%,"-2,37%","1,10%",
101.,zerjavec,"(4) ERNT-R-A,HT-R-A,KORF-R-A,INGR-R-A,ADPL-R-A",22.01. 08:56,-2.24%,"-9,47%","0,62%",
102.,STRASportfoglio,"(0) TISK-R-A,VPIK-R-A,ERNT-R-A,DDJH-R-A,KORF-R-A,ADRS-P-A",21.01. 20:48,-2.69%,"-5,00%","-0,35%",
103.,dezus,"(0) HDEL-R-A,BLJE-R-A,ATPL-R-A,RIVP-R-A,INGR-R-A",22.01. 19:49,-2.69%,"-2,69%","0,17%",malo sam kasno (skupo) uletio al cemo preslagivati
104.,vodoinstalater,"(0) TUHO-R-A,HUPZ-R-A,KODT-R-A,IGH-R-A",24.01. 08:59,-2.74%,"-5,83%","0,42%",
105.,cezar,"(0) PODR-R-A,KRAS-R-A,JNAF-R-A,INA-R-A",21.01. 13:11,-2.75%,"-3,17%","-0,42%",
106.,sonjci,"(1) PTKM-R-A,ARNT-R-A,DDJH-R-A,VPIK-R-A,KORF-R-A,INGR-R-A",13.01. 22:19,-2.80%,"-2,80%","-0,81%",
107.,Ab Ovo,"(1) IPKK-R-A,VART-R-1,PTKM-R-A,VPIK-R-A,BD62-R-A,KORF-R-A",22.01. 14:18,-2.87%,"-2,87%","-0,01%",
108.,Faca172007,"(0) INA-R-A,ATGR-R-A,ERNT-R-A,INGR-R-A,KORF-R-A,HT-R-A",23.01. 19:03,-2.96%,"-6,79%","0,16%",Faca172007
109.,ferengihr,"(0) INGR-R-A,BLJE-R-A,ATPL-R-A,LKPC-R-A,TISK-R-A,HT-R-A",08.01. 13:08,-3.08%,"-4,70%","-3,76%",-
110.,BEL.RM,"(0) VDKT-R-A,KORF-R-A,LEDO-R-A,DDJH-R-A,ERNT-R-A,VPIK-R-A",22.01. 10:01,-3.17%,"-5,33%","-0,31%",
111.,moon22walker,"(0) HT-R-A,ULPL-R-A,ZABA-R-A,VPIK-R-A,ADPL-R-A,PBZ-R-A",14.01. 09:57,-3.18%,"-8,21%","-1,30%",
112.,hrca,"(0) PTKM-R-A,DDJH-R-A,KORF-R-A",03.01. 14:54,-3.24%,"-3,24%","-4,73%",
113.,tip top,"(0) VPIK-R-A,DDJH-R-A,ACI-R-A,ADRS-P-A,LKRI-R-A,ERNT-R-A",22.01. 08:36,-3.45%,"-5,76%","-0,59%",
114.,barni35zg,"(0) VDKT-R-A,ERNT-R-A,DDJH-R-A,PODR-R-A,ATGR-R-A,KODT-R-A",23.01. 20:22,-3.79%,"-6,74%","-0,67%",
115.,vuky91,"(0) ERNT-R-A,ATGR-R-A,VPIK-R-A,ADRS-P-A,KORF-R-A,DLKV-R-A",18.01. 08:17,-3.87%,"-6,40%","-1,21%",
116.,Hassan,"(3) HT-R-A,KORF-R-A,INA-R-A,DIOK-R-A",25.01. 22:55,-4.22%,"-6,76%","-1,05%",
117.,dodonja,"(0) LKPC-R-A,ADRS-R-A,VIRO-R-A,HT-R-A,KODT-R-A",24.01. 20:29,-4.33%,"-7,62%","-1,17%",
118.,luka.os,"(0) IPKK-R-A,PTKM-R-A,ADPL-R-A",04.01. 00:36,-4.47%,"-6,80%","-6,36%",
119.,kokolo5,"(4) VART-R-1,VPIK-R-A,DIOK-R-A,INDG-R-A,HDEL-R-A",15.01. 20:26,-4.56%,"-4,56%","-3,33%",
120.,grfil,"(0) PTKM-R-A,DDJH-R-A,ADPL-R-A,KOEI-R-A,IPKK-R-A,KORF-R-A",22.01. 08:28,-4.61%,"-6,04%","-1,75%",
121.,Puerto Rico,"(0) ADPL-R-A,KORF-R-A,TISK-R-A,PTKM-R-A,VPIK-R-A,ERNT-R-A",24.01. 11:00,-4.81%,"-7,81%","-1,65%",
122.,kmiklose,"(1) ATPL-R-A,ZABA-R-A,ERNT-R-A,DLKV-R-A,HT-R-A",10.01. 17:02,-4.99%,"-9,93%","-4,78%",
123.,kupi,"(0) LEDO-R-A,VIRO-R-A,ADPL-R-A,KOEI-R-A,IPKK-R-A,VDKT-R-A",24.01. 23:11,-4.99%,"-6,65%","-1,83%",
124.,rekreativac,"(0) KORF-R-A,VPIK-R-A,DDJH-R-A,ADPL-R-A,PTKM-R-A",22.01. 16:43,-5.03%,"-6,38%","-2,17%",
125.,elton,"(6) ATGR-R-A,ADPL-R-A,KORF-R-A,ERNT-R-A,ADRS-P-A,PODR-R-A",15.01. 11:32,-5.14%,"-5,54%","-3,92%",
126.,vlad,"(0) VPIK-R-A,CROS-R-A,VDKT-R-A,PTKM-R-A,IPKK-R-A",04.01. 17:10,-5.32%,"-5,32%","-7,21%",
127.,UDRUGAR,"(0) PTKM-R-A,KORF-R-A,VPIK-R-A,ADRS-R-A,DDJH-R-A,ADPL-R-A",24.01. 09:53,-5.37%,"-6,84%","-2,21%",
128.,4x,"(0) HT-R-A,CROS-R-A,BLJE-R-A,ATGR-R-A",21.01. 21:18,-5.52%,"-8,21%","-3,19%",
129.,iaugust,"(0) VPIK-R-A,VLHO-R-A,VDKT-R-A,IPKK-R-A,HDEL-R-A,KORF-R-A",21.01. 19:20,-5.56%,"-5,56%","-3,23%",
130.,mharjacek,"(0) PTKM-R-A,DDJH-R-A,INGR-R-A,VPIK-R-A,ARNT-R-A,KORF-R-A",21.01. 14:49,-5.73%,"-5,73%","-3,39%",
131.,čizmica,"(0) LEDO-R-A,ZABA-R-A,KNZM-R-A",02.01. 10:46,-5.73%,"-8,64%","-9,43%",
132.,zimzelen,"(2) VART-R-1,MGMA-R-A,INDG-R-A,KSST-R-A",23.01. 23:16,-6.20%,"-6,20%","-3,08%",
133.,Cartman,"(0) VPIK-R-A,PTKM-R-A,DDJH-R-A,KORF-R-A,ADPL-R-A",23.01. 22:39,-6.48%,"-7,79%","-3,36%",
134.,bravenscak,"(0) KSST-R-A,PODR-R-A,ATPL-R-A,PTKM-R-A,KORF-R-A,DLKV-R-A",24.01. 16:53,-6.60%,"-6,60%","-3,44%",
135.,Pingvin,"(0) VPIK-R-A,ADPL-R-A,ERNT-R-A,PTKM-R-A,KNZM-R-A",23.01. 00:04,-6.61%,"-10,63%","-3,49%",
136.,senf,"(0) BLJE-R-A,ZABA-R-A,HT-R-A,ERNT-R-A,ADRS-P-A,ATGR-R-A",22.01. 13:46,-6.61%,"-11,59%","-3,75%",
137.,TG86,"(0) HT-R-A,ATPL-R-A,IGH-R-A,INGR-R-A,KORF-R-A,VPIK-R-A",24.01. 18:25,-6.68%,"-8,24%","-3,51%",Bounce
138.,ALFON,"(2) ARNT-R-A,DIOK-R-A,VPIK-R-A,KORF-R-A",21.01. 19:35,-7.10%,"-8,87%","-4,77%",
139.,maximus.circus,"(0) ZVZD-R-A,PTKM-R-A,KORF-R-A",23.01. 09:56,-7.11%,"-7,11%","-3,99%",
140.,davorsto,"(0) ADRS-R-A,LKRI-R-A,VPIK-R-A",16.01. 23:36,-7.12%,"-7,88%","-5,06%",
141.,system42,"(0) BLJE-R-A,KORF-R-A,HT-R-A",22.01. 08:50,-7.18%,"-10,31%","-4,32%",
142.,player576,"(1) DLKV-R-A,LKPC-R-A,ADPL-R-A,LKRI-R-A,ZABA-R-A,ATPL-R-A",21.01. 18:37,-7.65%,"-9,60%","-5,31%",sretno
143.,Marko,"(0) DLKV-R-A,ADPL-R-A,VLHO-R-A",17.01. 19:04,-7.65%,"-9,92%","-5,27%",
144.,vuky,"(0) PTKM-R-A,DDJH-R-A,BLJE-R-A,KORF-R-A,VLHO-R-A,ADRS-P-A",23.01. 11:17,-7.92%,"-8,32%","-4,80%",
145.,korov1,"(0) PTKM-R-A,ADPL-R-A,KOEI-R-A,DDJH-R-A",22.01. 19:03,-7.96%,"-10,10%","-5,10%",
146.,Ddespo,"(0) PTKM-R-A,DDJH-R-A,KNZM-R-A,LEDO-R-A,ZVZD-R-A,VIRO-R-A",21.01. 20:53,-8.03%,"-8,64%","-5,69%",
147.,nalet,"(1) ARNT-R-A,DDJH-R-A,TISK-R-A",05.01. 19:07,-8.04%,"-8,04%","-9,93%",
148.,miško,"(1) INGR-R-A,DIOK-R-A,BLJE-R-A,DLKV-R-A,HDEL-R-A,KSST-R-A",21.01. 14:48,-8.20%,"-8,20%","-5,87%",
149.,GARFIELD,"(0) ERNT-R-A,KNZM-R-A,DLKV-R-A,VIRO-R-A,LKRI-R-A,ACI-R-A",17.01. 00:14,-8.41%,"-10,67%","-6,03%",
150.,proba 2013,"(0) VPIK-R-A,TISK-R-A,IPKK-R-A,KORF-R-A,DDJH-R-A,ZABA-R-A",21.01. 18:37,-8.56%,"-9,44%","-6,22%",
151.,igipop001,"(0) DDJH-R-A,KORF-R-A,PTKM-R-A",22.01. 13:39,-8.80%,"-8,80%","-5,94%",
152.,hujga hujga,"(0) PTKM-R-A,IPKK-R-A,VPIK-R-A",07.01. 13:03,-8.82%,"-8,82%","-10,47%",
153.,dino73,"(0) HT-R-A,PTKM-R-A,VPIK-R-A,KORF-R-A,BLJE-R-A,DDJH-R-A",10.01. 21:50,-9.02%,"-10,64%","-8,80%",
154.,ivanoreskovic,"(0) ADRS-P-A,DDJH-R-A,VDKT-R-A,VPIK-R-A",14.01. 01:17,-9.04%,"-9,66%","-7,16%",
155.,biljana4b,"(0) THNK-R-A,TISK-R-A,IPKK-R-A,CROS-R-A,KODT-R-A",21.01. 14:34,-9.23%,"-10,23%","-6,89%",
156.,Igor-H,"(1) VPIK-R-A,IPKK-R-A,KORF-R-A,DDJH-R-A",19.01. 19:10,-9.29%,"-9,29%","-6,63%",
157.,tihomir2,"(0) ERNT-R-A,IGH-R-A,ATPL-R-A,DLKV-R-A,ADPL-R-A,INGR-R-A",14.01. 15:48,-9.44%,"-12,46%","-7,56%",
158.,mhranilo,"(0) ZABA-R-A,PODR-R-A,ARNT-R-A,HT-R-A,DLKV-R-A",21.01. 17:20,-9.57%,"-12,51%","-7,23%",
159.,stefek10,"(0) KORF-R-A,VDKT-R-A,PTKM-R-A",11.01. 10:56,-9.61%,"-9,61%","-7,62%",
160.,dolar,"(0) DDJH-R-A,KORF-R-A,VPIK-R-A,BLJE-R-A",22.01. 09:24,-9.85%,"-9,85%","-6,99%",
161.,hraguz,"(2) LPLH-R-A,VPIK-R-A,ADRS-R-A,DDJH-R-A,KORF-R-A,HT-R-A",25.01. 21:58,-9.98%,"-9,98%","-6,80%",
162.,Zlikowski,"(0) ADPL-R-A,IPKK-R-A,PTKM-R-A",21.01. 14:51,-10.09%,"-12,35%","-7,75%",
163.,markus07,"(0) ADRS-R-A,INGR-R-A,BLJE-R-A,IGH-R-A,PODR-R-A,ATGR-R-A",03.01. 00:02,-10.26%,"-10,92%","-11,75%",
164.,bigblu,"(1) KSST-R-A,ATPL-R-A,LKRI-R-A,DLKV-R-A",08.01. 10:22,-10.26%,"-10,26%","-10,94%",
165.,papaya,"(1) HDEL-R-A,ZVZD-R-A,DLKV-R-A,ADPL-R-A",21.01. 22:14,-10.29%,"-11,59%","-7,95%",
166.,vnakov,"(0) DLKV-R-A,ERNT-R-A,VDKT-R-A,ATGR-R-A,LEDO-R-A",21.01. 14:17,-10.57%,"-13,43%","-8,23%",
167.,Apprentice,"(0) ULPL-R-A,PTKM-R-A,KOEI-R-A,DDJH-R-A",23.01. 14:08,-10.93%,"-11,39%","-7,81%",
168.,MA Invest,"(0) HDEL-R-A,ADPL-R-A,INGR-R-A",21.01. 18:36,-11.57%,"-13,83%","-9,23%",
169.,Zorba,"(0) KORF-R-A,JNAF-R-A,VPIK-R-A,TISK-R-A,HDEL-R-A,VDKT-R-A",22.01. 00:11,-11.58%,"-11,71%","-8,72%",
170.,Digitron,"(0) KNZM-R-A,ADRS-P-A,LKPC-R-A",22.01. 13:55,-11.83%,"-13,34%","-8,97%",
171.,mladen11,"(2) ATPL-R-A,PTKM-R-A,DDJH-R-A",22.01. 18:07,-12.51%,"-12,51%","-9,65%",Živjeli!!!
172.,Carmel by the Sea,"(0) LKRI-R-A,INGR-R-A,VDKT-R-A",03.01. 23:35,-12.57%,"-12,57%","-14,06%",
